abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Care Coordination;Protected Health Information Data Sharing,Hospice;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Saranac Lake,Rural,,,"$96,100",New York,Adirondack Medical Center,"Federaman, Jay",https://healthit.ahrq.gov/ahrq-funded-projects/planning-implementation-emr-rural-area,Closed,Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Planning Implementation of an EMR in a Rural Area (New York)
,Primary Care;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Health Department;Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Silver Spring,Non-rural,,,"$200,000",Maryland,Primary Care Coalition of Montgomery County,"Lewis, Thomas",https://healthit.ahrq.gov/ahrq-funded-projects/community-healthlink-care-regional-emr,Closed,Congestive Heart Failure (CHF);Low-SES/Low Income;Medically Underserved;Uninsured,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Community HealthLink Care: Regional EMR (Maryland)
,Medication Management;Quality Measurement/Quality Improvement,Ambulatory;Home;Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Bennington,Rural,,,"$1,486,304",Vermont,Southwestern Vermont Health Care Corporation,"Hayden, Avis",https://healthit.ahrq.gov/ahrq-funded-projects/improving-healthcare-quality-information-technology,Closed,Pediatric;Rural Health;Women,Bar Coding;Clinical Decision Support (CDS) System;Clinical Documentation;Computerized Provider Order Entry (CPOE);Devices;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Electronic Medication Administration;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Improving Healthcare Quality via Information Technology (Vermont)
,Chronic Disease Management,Ambulatory,Demonstrating the Value of Health Information Technology,Billings,Non-rural;Rural,,,"$1,488,426",Montana,St. Vincent Healthcare,"Goldberg, Lee",https://healthit.ahrq.gov/ahrq-funded-projects/home-heart-failure-hf-care-comparing-patient-driven-technology-models,Closed,Adults;Chronic Care;Congestive Heart Failure (CHF);Elderly;Low-SES/Low Income;Racial/Ethnic Minorities;Rural Health,Clinical Decision Support (CDS) System;Internet;Telehealth Technology;Telemonitoring,Home Heart Failure (HF) Care: Comparing Patient-Driven Technology Models (Montana)
,Medication Management;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Home;Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Kilmarnock,Rural,,,"$200,000",Virginia,Rappahannock General Hospital,"Matthews, Michael",https://healthit.ahrq.gov/ahrq-funded-projects/rural-virginia-e-health-collaborative,Closed,Rural Health,Bar Coding;Computerized Provider Order Entry (CPOE);Continuity of Care Record;Disease Registries;Electronic Medical Record (EMR)/Electronic Health Record (EHR);E-Prescribing;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Rural Virginia e-Health Collaborative (Virginia)
,Acute Care;Medication Management,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Clouquet,Rural,,,"$1,374,616",Minnesota,Cloquet Community Memorial Hospital,"Schmidt, Mark",https://healthit.ahrq.gov/ahrq-funded-projects/hit-based-regional-medication-management-pharmacy-system,Closed,Rural Health,Bar Coding;Devices;Electronic Medication Administration;Telehealth Technology,HIT-based Regional Medication Management Pharmacy System (Minnesota)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Long-Term Care;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Lincoln City,Rural,,,"$1,426,984",Oregon,Samaritan North Lincoln Hospital,"Gorman, Paul",https://healthit.ahrq.gov/ahrq-funded-projects/using-information-technology-it-improve-medication-safety-rural-elders,Closed,Chronic Care;Elderly;Rural Health,Electronic Medical Record (EMR)/Electronic Health Record (EHR);E-Prescribing;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Standards,Using Information Technology (IT) to Improve Medication Safety for Rural Elders (Oregon)
,Acute Care;Medication Management;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Home;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Mason City,Rural,,,"$1,492,374",Iowa,Mercy Medical Center North Iowa,"Crandall, Donald",https://healthit.ahrq.gov/ahrq-funded-projects/rural-iowa-redesign-care-delivery-ehr-functions,Closed,Chronic Care;Congestive Heart Failure (CHF);Coronary Artery Disease;Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Wide Area Network,Rural Iowa Redesign of Care Delivery with EHR Functions (Iowa)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Bolivar,Rural,,,"$1,500,00",Missouri,Citizens Memorial Hospital District,"Esch, Peggy",https://healthit.ahrq.gov/ahrq-funded-projects/project-infocare,Closed,Cancer;Elderly;End of Life Care;Rural Health,Bar Coding;Clinical Decision Support (CDS) System;Clinical Documentation;Computerized Provider Order Entry (CPOE);Devices;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Emergency Department Information System;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Nursing Documentation,Project InfoCare (Missouri)
,Protected Health Information Data Sharing,Emergency Department (ED)/Emergency Room (ER),State and Regional Demonstrations in Health Information Technology,Denver,Non-rural,290-04-0014,,"$4,999,133",Colorado,University of Colorado Health Sciences Center,"Davidson, Arthur",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstration-health-information-technology-co,Closed,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),State and Regional Demonstration in Health Information Technology: Colorado  (Colorado)
,Medication Management,Ambulatory Surgical Center;Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Health Information Technology Community Tracking,Washington,Non-rural;Rural,290-05-0007-1,,"$128,064",District of Columbia,Center for Studying Health System Change,"Grossman, Joy",https://healthit.ahrq.gov/ahrq-funded-projects/physicians-experiences-using-commercial-e-prescribing-systems,Closed,Adults;Elderly;Men;Pediatric;Women,E-Prescribing,Physicians' Experiences Using Commercial E-Prescribing Systems (District of Columbia)
,Protected Health Information Data Sharing,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Inpatient,State and Regional Demonstrations in Health Information Technology,Dover,Non-rural;Rural,290-05-0012,,"$3,323,677",Delaware,Delaware Health Care Commision,"Lee, Jan",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstration-health-information-technology-de,Closed,General,Computerized Provider Order Entry (CPOE);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),State and Regional Demonstration in Health Information Technology: Delaware (Delaware)
,,,Health Information Security and Privacy Collaborative (HISPC),Waltham,,290-05-0015-RTI-027,,,Massachusetts,Massachusetts Health Data Consortium,"Stone, Diane",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ma,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Massachusetts (Massachusetts)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Health Department;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Franklin,Rural,,,"$1,500,000",Louisiana,Franklin Foundation Hospital,"Mathews, Craig",https://healthit.ahrq.gov/ahrq-funded-projects/service-integration,Closed,Safety Net,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Service Integration (Louisiana)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Home,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Mattoon,Rural,,,"$1,500,000",Illinois,Sarah Bush Lincoln Health Center,"DeLuca, Michael",https://healthit.ahrq.gov/ahrq-funded-projects/ambulatory-electronic-medical-record-and-shared-access,Closed,Medically Underserved,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Ambulatory Electronic Medical Record and Shared Access (Illinois)
,,,Health Information Security and Privacy Collaborative (HISPC),Salt Lake City,,290-05-0015-RTI-014,,,Utah,Utah Department of Health,"Lanier, Francesca",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ut,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Utah (Utah)
,,,Health Information Security and Privacy Collaborative (HISPC),Chicago,,290-05-0015-RTI-046,,,Illinois,United Way of Illinois/Illinois Public Health Institute,"Bassler, Elissa",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-il2,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Illinois (Illinois)
,,,Health Information Security and Privacy Collaborative (HISPC),Topeka,,290-05-0015-RTI-017,,,Kansas,Kansas Health Institute,"St. Peter, Robert",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ks,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Kansas (Kansas)
,,,Health Information Security and Privacy Collaborative (HISPC),Baton Rouge,,290-05-0015-RTI-028,,,Louisiana,Louisiana Department of Health and Hospitals,"Townsend, Roxane",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-la,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Louisiana (Louisiana)
,,,Health Information Security and Privacy Collaborative (HISPC),Research Triangle Park,,290-05-0015-RTI-037,,,North Carolina,"North Carolina Healthcare Information and Communications Alliance, Inc","Anderson, W. Holt",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-nc,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / North Carolina (North Carolina)
,,,Health Information Security and Privacy Collaborative (HISPC),Anchorage,,290-05-0015-RTI-034,,,Alaska,Alaska Native Tribal Health Consortium,"Madison, Rebecca",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ak,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Alaska (Alaska)
,Protected Health Information Data Sharing,Ambulatory;Inpatient;Laboratory,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Danville,Rural,,,"$1,499,999",Pennsylvania,Weis Center for Research,"Richards, Francis",https://healthit.ahrq.gov/ahrq-funded-projects/regional-approach-transforming-healthcare-quality-through-information,Closed,,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Regional Approach for Transforming Healthcare Quality through Information Technology (THQIT) in Rural Settings (Pennsylvania)
,Prevention;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Health Department;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Tahlequah,Rural,,,"$1,495,441",Oklahoma,Tahlequah City Hospital,"Jones, Mark",https://healthit.ahrq.gov/ahrq-funded-projects/implementation-health-improvement-collaboration-cherokee-county-ok,Closed,Chronic Care;Coronary Artery Disease;Hyperlipidemia (HL);Hypertension;Mental Health/Depression;Racial/Ethnic Minorities;Rural Health;Stroke,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),"Implementation of Health Improvement Collaboration in Cherokee County, OK (Oklahoma)"
,Chronic Disease Management;Medication Management;Primary Care;Protected Health Information Data Sharing,Ambulatory;Home;Inpatient;Long-Term Care,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Presque Isle,Rural,,,"$1,312,329",Maine,Aroostook Medical Center,"Nashan, Georges",https://healthit.ahrq.gov/ahrq-funded-projects/chronic-care-technology-project,Closed,Adults;Chronic Care;Chronic Obstructive Pulmonary Disease (COPD);Congestive Heart Failure (CHF);Diabetes;Hypertension;Mental Health/Depression;Obesity,Computerized Provider Order Entry (CPOE),The Chronic Care Technology Project (Maine)
,,,Health Information Security and Privacy Collaborative (HISPC),Hartford,,290-05-0015-RTI-032,,,Connecticut,Public Health Foundation of Connecticut,"Lynch, John",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ct,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Connecticut (Connecticut)
,,,Health Information Security and Privacy Collaborative (HISPC),Trenton,,290-05-0015-RTI-009,,,New Jersey,New Jersey Department of Banking and Insurance,"O'Byrne, William",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-nj,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / New Jersey (New Jersey)
,,,Health Information Security and Privacy Collaborative (HISPC),Saint Paul,,290-05-0015-RTI-011,,,Minnesota,Minnesota Department of Health,"Golden, James",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-mn,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Minnesota (Minnesota)
,,,Health Information Security and Privacy Collaborative (HISPC),San Juan,,290-05-0015-RTI-024,,,Puerto Rico,Puerto Rico Health Department,"Rodriguez Olmeda, Jose H.",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-pr,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Puerto Rico (Puerto Rico)
,Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Ambulatory;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Minneapolis,Non-rural,,,"$1,482,674",Minnesota,Fairview Health Services,"Connelly, Donald",https://healthit.ahrq.gov/ahrq-funded-projects/community-shared-clinical-abstract-improve-care,Closed,Adults;Congestive Heart Failure (CHF),Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet,A Community-Shared Clinical Abstract to Improve Care (Minnesota)
,Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Health Department;Inpatient;Pharmacy,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Silver Spring,Non-rural,,,"$1,487,927",Maryland,Primary Care Coalition of Montgomery County,"Lewis, Thomas",https://healthit.ahrq.gov/ahrq-funded-projects/metro-dc-health-information-exchange-medhix,Closed,Low-SES/Low Income;Safety Net;Uninsured,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Metro DC Health Information Exchange (MeDHIX) (Maryland)
,,,Health Information Security and Privacy Collaborative (HISPC),Frankfort,,290-05-0015-RTI-025,,,Kentucky,Kentucky Cabinet for Health and Family Services,"Matthews, Trudi",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ky,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Kentucky (Kentucky)
,,,Health Information Security and Privacy Collaborative (HISPC),Buffalo,,290-05-0015-RTI-036,,,New York,"Health Research, Inc","Flink, Ellen",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ny,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / New York (New York)
,Acute Care;Protected Health Information Data Sharing;Specialty Care,Ambulatory;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Hattiesburg,Rural,,,"$1,499,995",Mississippi,University of Southern Mississippi,"Rachal, Valerie",https://healthit.ahrq.gov/ahrq-funded-projects/creating-online-newborn-intensive-care-unit-nicu-networks-educate-consult-team,Closed,Medically Underserved;Pediatric,Clinical Data Repository;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR),"Creating Online Newborn Intensive Care Unit (NICU) Networks to Educate, Consult & Team (Mississippi)"
,,,Health Information Security and Privacy Collaborative (HISPC),Columbus,,290-05-0015-RTI-020,,,Ohio,Health Policy Institute of Ohio,"Hayes, William",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-oh,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Ohio (Ohio)
,,,Health Information Security and Privacy Collaborative (HISPC),Salem,,290-05-0015-RTI-007,,,Oregon,Office for Oregon Health Policy and Research,"Petit, Jod",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-or,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Oregon (Oregon)
,Acute Care;Protected Health Information Data Sharing,Ambulatory,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Marquette,Rural,,,"$1,484,167",Michigan,Upper Peninsula Health Care Network,"Wheeler, Donald",https://healthit.ahrq.gov/ahrq-funded-projects/critical-access-hospital-partnership-health-information-technology,Closed,Medically Underserved,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Master Patient Index,Critical Access Hospital Partnership Health Information Technology Implementation (Michigan)
,,,Health Information Security and Privacy Collaborative (HISPC),Laramie,,290-05-0015-RTI-022,,,Wyoming,University of Wyoming,"Gantenbein, Rex",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-wy,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Wyoming (Wyoming)
,Care Coordination;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Inpatient;Non-Medical,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Placerville,Rural,,,"$1,491,985",California,Marshall Medical,"Bergner, Greg",https://healthit.ahrq.gov/ahrq-funded-projects/el-dorado-county-safety-net-technology-project-accel,Closed,Adults;Low-SES/Low Income;Medically Underserved;Mental Health/Depression;Pediatric;Safety Net;Uninsured,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),El Dorado County Safety Net Technology Project/Access El Dorado County (ACCEL) (California)
,Acute Care;Protected Health Information Data Sharing,Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Britt,Rural,,,"$1,474,178",Iowa,Hancock County Health Services,"O'Brien, John",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-health-record-implementation-continuum-care-rural-iowa,Closed,Medically Underserved;Medicare;Rural Health,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Electronic Health Record Implementation for Continuum of Care in Rural Iowa (Iowa)
,,,Health Information Security and Privacy Collaborative (HISPC),San Francisco,,290-05-0015-RTI-031,,,California,California Regional Health Information Organization,"Hack, Lori",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ca,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / California (California)
,Chronic Disease Management;Protected Health Information Data Sharing;Specialty Care,Ambulatory;Community Health Center;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Tehachapi,Rural,,,"$1,484,361",California,Tehchapi Valley Hospital,"Nocella, Kiki",https://healthit.ahrq.gov/ahrq-funded-projects/accessing-cutting-edge-implementing-technology-transform-quality-se-kern,Closed,Adults;Diabetes;Medically Underserved,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Telehealth Technology,Accessing the Cutting Edge: Implementing Technology to Transform Quality in SE Kern (California)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Windsor,Rural,,,"$792,324",Vermont,Mt. Ascutney Hospital and Health Center,"Sims, Thomas",https://healthit.ahrq.gov/ahrq-funded-projects/improving-rural-health-care-implementing-innovative-integration-solutions,Closed,Low-SES/Low Income;Rural Health,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Standards,Improving Rural Health Care: Implementing Innovative Integration Solutions (Vermont)
,,,Health Information Security and Privacy Collaborative (HISPC),Sacramento,,290-05-0015-RTI-045,,,California,California Office of HIPAA Implementation,"Kam, Alex",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ca2,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / California (California)
,,,Health Information Security and Privacy Collaborative (HISPC),Oak Brook,,290-05-0015-RTI-029,,,Illinois,Illinois Foundation for Quality Health Care,"Smith-Ross, Shannon",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-il,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Illinois (Illinois)
,,,Health Information Security and Privacy Collaborative (HISPC),Ridgeland,,290-05-0015-RTI-018,,,Mississippi,Information & Quality Healthcare,"Bowen, Bo",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ms,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Mississippi (Mississippi)
,,,Health Information Security and Privacy Collaborative (HISPC),Durham,,290-05-0015-RTI-015,,,New Hampshire,University of New Hampshire,"McGrath, Robert",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-nh,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / New Hampshire (New Hampshire)
,,,Health Information Security and Privacy Collaborative (HISPC),Lansing,,290-05-0015-RTI-008,,,Michigan,Michigan Department of Community Health,"Green, Dana",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-mi,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Michigan (Michigan)
,,,Health Information Security and Privacy Collaborative (HISPC),Providence,,290-05-0015-RTI-012,,,Rhode Island,Rhode Island Department of Health,"Zimmerman, Amy",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ri,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Rhode Island (Rhode Island)
,,,Health Information Security and Privacy Collaborative (HISPC),Madison,,290-05-0015-RTI-004,,,Wisconsin,Wisconsin Dept of Health and Family Services,"Wood, Susan",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-wi,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Wisconsin (Wisconsin)
,Protected Health Information Data Sharing,,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Kimball,,,,"$1,498,623",Nebraska,Rural Nebraska Healthcare Network,"Shank, Nancy",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-exchange-frontier-model,Closed,,,Health Information Exchange: A Frontier Model (Nebraska)
,,,Health Information Security and Privacy Collaborative (HISPC),Phoenix,,290-05-0015-RTI-005,,,Arizona,Government Information Technology Agency,"Snyder, Kim",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-az,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Arizona (Arizona)
,,,Health Information Security and Privacy Collaborative (HISPC),Denver,,290-05-0015-RTI-033,,,Colorado,Colorado Health Institute,"Dierker, Lynn",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-co,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Colorado (Colorado)
,,,Health Information Security and Privacy Collaborative (HISPC),Manchester,,290-05-0015-RTI-035,,,Maine,Maine Health Information Center,"Culver, Devore",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-me,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Maine (Maine)
,,,Health Information Security and Privacy Collaborative (HISPC),Charleston,,290-05-0015-RTI-010,,,West Virginia,West Virginia Medical Institute,"Ruddick, Patricia",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-wv,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / West Virginia (West Virginia)
,,,Health Information Security and Privacy Collaborative (HISPC),West Des Moines,,290-05-0015-RTI-038,,,Iowa,Iowa Foundation for Medical Care,"Grund, Sherry",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ia,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Iowa (Iowa)
,,,Health Information Security and Privacy Collaborative (HISPC),Little Rock,,290-05-0015-RTI-006,,,Arkansas,University of Arkansas for Medical Sciences,"Tyson, Shirley",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ar,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Arkansas (Arkansas)
,Care Coordination;Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Ambulatory;Community Health Center,Limited Competition for AHRQ Transforming Healthcare Quality Through Information Technology - Implementation Grants,Honolulu,Rural,,,"$1,476,200",Hawaii,Hawaii Primary Care Association,"Sakuda, Christine M.",https://healthit.ahrq.gov/ahrq-funded-projects/holomua-project-improving-transitional-care-hawaii,Closed,Racial/Ethnic Minorities,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Holomua Project Improving Transitional Care in Hawaii (Hawaii)
,,,Health Information Security and Privacy Collaborative (HISPC),Santa Fe,,290-05-0015-RTI-013,,,New Mexico,New Mexico Department of Health,"Blair, Jeff",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-nm,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / New Mexico (New Mexico)
,,,Health Information Security and Privacy Collaborative (HISPC),Tallahassee,,290-05-0015-RTI-030,,,Florida,Florida Agency for Health Care Administration,"Rawlins, Lisa",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-fl,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Florida (Florida)
,,,Health Information Security and Privacy Collaborative (HISPC),Seattle,,290-05-0015-RTI-016,,,Washington,Qualis Health,"Evans, Peggy",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-wa,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Washington (Washington)
,,,Health Information Security and Privacy Collaborative (HISPC),Oklahoma City,,290-05-0015-RTI-026,,,Oklahoma,Oklahoma State Department of Health,"Green, Robn",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-ok,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Oklahoma (Oklahoma)
,,,Health Information Security and Privacy Collaborative (HISPC),Indianapolis,,290-05-0015-RTI-019,,,Indiana,Indiana State Department of Health,"Gamache, Roland",https://healthit.ahrq.gov/ahrq-funded-projects/privacy-and-security-solutions-interoperable-hie-in,Closed,,,Privacy and Security Solutions for Interoperable Health Information Exchange / Indiana (Indiana)
